Id,Name,State,Open,Close,License,Phone Number,Address
1,The Mucky Duck,MD,0900,2000,MD97865,262-438-108,7151 Rocky River St.
2,LUX,OR,1200,1900,OR63735,304-751-614,33 Roosevelt Street
3,Dead Man's Drink,MN,0800,1800,MN95187,319-730-509,641 Meadowbrook Drive
4,The Ragged Flagon,LA,1100,2100,LA10002,307-447-824,929 Heather Road
5,The Bannered Mare,NJ,1000,2000,NJ72978,303-425-231,88 Mayfield Dr.
6,LUX,WY,0800,2300,WY64037,276-706-327,77 Second Street
7,Copa,WI,0800,2000,WI94831,603-406-105,9399 East Dr.
8,Mama Chow's Fine Dining,HI,1000,2000,HI60274,240-703-243,72 Cottage Street
9,Poor Richard's,RI,0800,2100,RI94339,480-977-579,28 N. Wrangler St.
10,New Found Out,AK,1100,1900,AK20321,240-888-240,42 Front St.
11,O'Malley's,MO,1100,2000,MO24129,435-156-735,9564 Walt Whitman St.
12,Cocktails and Dreams,HI,1300,2100,HI11544,270-629-464,94 Oakwood St.
13,The Red Boot Pub,OR,0900,2000,OR18630,702-788-413,18 York Avenue
14,The Downy Pelican,AZ,0800,2300,AZ22248,803-828-551,428 Wrangler Street
15,The Siren,KS,1100,2300,KS41140,207-892-215,8929 Liberty St.
16,The Hip Joint,NM,1300,1800,NM82102,276-821-108,9989 Arnold St.
17,Bob's Country Bunker,UT,1100,1900,UT21146,270-931-142,8946 High Noon St.
18,The Bannered Mare,NC,1300,1800,NC71567,479-989-263,1 Saxon Ave.
19,The Silent Woman,AK,1300,1900,AK71940,605-124-371,83 Edgewater Street
20,Charlie's,MO,0800,2300,MO50113,339-361-550,345 Lincoln Lane
21,Mickey's,GA,0800,2200,GA21219,702-792-959,791 Rockaway Street
22,Porky's,IN,1300,2300,IN41836,219-391-110,910 West Grandrose Street
23,The Winchester Tavern,KY,1000,2200,KY55639,319-415-249,33 Roosevelt Street
24,The Malt Shovel,WV,1000,2100,WV91261,239-568-838,90 Cedar Swamp Lane
25,Inn of the Last Home,NM,1000,1800,NM69848,802-620-304,7824 Fremont Street
26,Rovers Return Inn,VA,1300,2000,VA99231,229-488-745,7051 Shub Farm St.
27,"Mos Eisley cantina, aka ""Chalmun's Cantina""",LA,0900,2200,LA30752,276-181-884,8847 Cross Ave.
28,Lucky Lockup,NC,1100,2000,NC25306,406-334-103,245 Pulaski Drive
29,Table Salt,AK,0900,1800,AK31043,212-645-260,870 Overlook Court
30,Meibeyer's,GA,0800,1800,GA40489,239-986-111,890 Poor House Lane
31,Gateway Inn,MI,0800,2100,MI15985,308-524-546,350 West Smith Lane
32,Mad Dog Saloon,AZ,0800,2300,AZ26779,503-167-201,8518 Shub Farm Drive
33,Trees Lounge,TX,0800,2000,TX43812,803-828-551,8649 Riverview Ave.
34,Seagrass,ND,1100,2000,ND37080,228-120-292,67 Pleasant Ave.
35,The Bloated Float Inn,AZ,1100,1800,AZ67276,802-781-134,57 Sutor St.
36,The Brick,NY,1300,1900,NY34175,205-118-749,791 Rockaway Street
37,The Intersection,ND,0900,1900,ND35087,303-425-231,593 S. Kirkland Ave.
38,Jenny's,NY,1200,2000,NY56283,605-927-863,750 Hill Field Street
39,Inn of the Last Home,ME,1300,2300,ME13693,435-844-268,207 Glenholme St.
40,Mystic Grill,IA,0800,2100,IA35340,212-240-106,7590 Goldfield Road
41,Palace Saloon,ID,1200,2200,ID20021,316-503-316,78 Mountainview Rd.
42,The King and Queen Tavern,HI,1100,1900,HI60513,808-485-244,18 Rockland Street
43,The Hip Joint,PA,1200,1900,PA25453,303-621-414,57 Ivy Lane
44,Charlie's,IA,1200,2300,IA19351,339-223-799,565 High Point St.
45,The Moonrakers,SD,1000,2300,SD13282,203-611-743,59 Fairway St.
46,O'Malley's,WI,1300,2100,WI66753,503-381-660,289 E. Queen St.
47,The Blue Oyster Bar,UT,1300,2100,UT26688,702-388-937,18 Charles St.
48,Palace Saloon,ME,1200,2000,ME21594,702-420-563,3 Longfellow Street
49,Milliway's,TN,1200,1900,TN81844,701-682-146,87 Creekside Rd.
50,Mystic Grill,MS,1100,1800,MS97950,208-755-432,28 N. Wrangler St.
51,Colonial Taphouse,WY,1100,2100,WY60958,252-374-529,898 Creek Ave.
52,Café René,HI,1000,1900,HI53644,308-982-812,8941C Leeton Ridge Street
53,Vardi's,AZ,1200,2100,AZ23314,276-821-108,641 County Ave.
54,Midnight Bell,MD,1100,2100,MD39015,605-927-863,8125 Pleasant Avenue
55,The Lizard's Head,IL,0900,1900,IL32378,303-209-601,15 Washington Dr.
56,Rick's Café Américain,MA,1200,2000,MA16738,503-818-954,53 W. Pheasant Dr.
57,The Mucky Duck,NV,0800,2100,NV18604,603-444-130,573 Alderwood Road
58,Cooper's,NM,0800,2200,NM51026,206-139-398,173 Clark St.
59,The Archer,IN,1000,2300,IN49472,210-779-147,20 South Southampton Road
60,Duke's Pub,MA,1300,1800,MA29561,316-862-383,701 East Mayflower Ave.
61,Cheers,HI,1200,2200,HI64288,303-643-371,460 Santa Clara Street
62,The Admiral Benbow Inn,GA,1000,2300,GA55570,205-118-749,59 Pierce Ave.
63,The Five Claws Lodge,KS,1300,2200,KS57180,907-510-782,298 Holly St.
64,Samoan Joe's,KY,1000,2200,KY90220,304-730-826,9430 Peninsula St.
65,The Moonrakers,CT,1100,2100,CT80161,276-749-543,8101 Fairground St.
66,The Bada Bing,MD,1300,2200,MD71518,215-696-563,8414 Wakehurst Ave.
67,Puzzles,PA,0900,2000,PA54163,209-574-108,8445 Andover Street
68,The Buck's Head Inn,AZ,1200,2000,AZ70949,207-892-215,229 S. Pumpkin Hill Ave.
69,The Venusville Bar,VA,1200,2200,VA89994,405-687-740,8846 W. Ridgewood St.
70,The Wicked Kiss,DE,0900,2200,DE74415,803-864-442,56 Piper Court
71,Glenister's,KY,1300,1900,KY73803,303-660-166,770 Academy Ave.
72,West Weald Inn,OH,1100,1900,OH63070,605-358-262,765 Amerige Drive
73,Palace Saloon,MI,1300,2100,MI30118,405-687-740,20 Indian Summer Avenue
74,The Butchers Arms,GA,1000,2200,GA41244,907-365-524,100 Philmont Street
75,West Weald Inn,ID,0900,1900,ID43863,701-682-146,90 Cedar Swamp Lane
76,The Flowers of Gold,WY,0900,2100,WY27978,239-785-318,9399 East Dr.
77,The Three Broomsticks,NM,1100,2000,NM41899,479-235-339,739 Bayport St.
78,Low Point,TX,1200,2100,TX99215,252-790-755,239 Selby St.
79,The Grey Mare,NH,1100,2300,NH93122,205-511-481,93 Joy Ridge St.
80,Cohan's,WY,1200,2200,WY94842,217-144-428,846 South Constitution Street
81,The Venusville Bar,OH,1100,2200,OH15244,215-504-401,144 E. Richardson Ave.
82,New York Bar,RI,0900,1800,RI97775,216-236-139,9 Colonial Street
83,The Lock,MD,0800,2300,MD32865,239-379-119,2 Sherman Court
84,The Rat in the Pot,AK,0900,2300,AK35891,203-278-172,7 Bradford St.
85,The Winchester Tavern,KS,1300,2300,KS35476,503-124-924,211 Magnolia Street
86,The Blue Parrot,OH,1200,2300,OH20189,212-525-519,20 School St.
87,Gaston's,ND,0900,2100,ND59339,217-201-296,7639 Brickell Rd.
88,The Peach Pit,MA,1300,2300,MA81009,210-779-147,12 Tallwood St.
89,Table Salt,SD,1200,2000,SD77882,303-793-186,33 Roosevelt Street
90,The Swan & Paedo,NC,1000,2300,NC82111,276-276-118,9082 St Margarets Ave.
91,The Third Rail,WI,1200,2100,WI35102,218-916-177,952 Wentworth Dr.
92,Inn of Ill Omen,NE,0800,1900,NE24712,210-334-314,15 Prince Ave.
93,The Earl Of Osbourne,SD,1000,2100,SD87723,231-528-434,17 St Louis Ave.
94,Levy's,PA,0900,1800,PA60402,239-717-277,89 Pacific Street
95,The Iron Horse,MA,1100,1900,MA52529,603-562-375,9337 Chestnut Ave.
96,Sleeping Giant Inn,MI,1000,2200,MI69382,203-863-435,7 NW. Gonzales Court
97,The Hand of Glory,VT,0900,1900,VT58955,503-767-481,37 Constitution Road
98,The Hanged Man,NY,1100,2200,NY91424,406-666-261,100 Philmont Street
99,The Rat in the Pot,CT,0900,2000,CT88823,423-222-364,445 Elmwood Lane
100,Volpe's,OH,1100,1800,OH51765,302-709-598,115 W. Lakeshore Drive
101,"Mos Eisley cantina, aka ""Chalmun's Cantina""",CT,0900,2100,CT33110,316-704-122,9 Green Hill Rd.
102,Dorsia,WI,0800,2100,WI84914,339-101-457,652 Pennsylvania St.
103,The Boar's Head,OK,1300,2000,OK59498,304-546-702,211 Magnolia Street
104,Weatherfield Arms,NM,1200,1900,NM81401,304-751-614,327 Hanover St.
105,The Bronze,FL,1000,2200,FL63123,603-810-938,7824 Fremont Street
106,Corrado Italian Bistro,NJ,1100,2100,NJ62740,262-438-108,573 Alderwood Road
107,The Lamb & Flag,WI,1000,2300,WI33318,262-414-448,762 Whitemarsh Ave.
108,Lusty Leopard,AR,1000,2300,AR36238,319-802-772,9704 South Ann Drive
109,The Winchester Club,MD,0800,2200,MD57596,239-379-119,7210 South Hawthorne Dr.
110,The Blue Oyster Bar,NM,1200,2300,NM42459,339-251-481,619 South Walnut St.
111,The Drowned Trout,WA,1100,2200,WA88969,228-354-915,135 North Street
112,St. Elmo's Bar,SC,1000,1800,SC34280,702-969-310,363 South Stillwater Dr.
113,The Brick,WY,0900,1800,WY74651,339-223-799,457 Talbot Court
114,Frostfruit Inn,NH,1100,2200,NH97369,231-696-934,17 St Louis Ave.
115,Elfsong Tavern,KY,1200,2200,KY57659,808-347-700,900 South Manhattan St.
116,Titty Twister,IL,1200,2200,IL99508,303-557-152,753 Dunbar Rd.
117,The Drunken Dragon Inn,NV,1100,2200,NV17961,405-140-416,68 Spring Dr.
118,Maccadam's Old Oil House,ID,0900,2300,ID91683,603-986-661,9624 Johnson Street
119,The Bang Bang Bar,IN,0900,2300,IN81851,308-852-385,9430 Peninsula St.
120,The Cap & Bell,MT,1100,2200,MT27079,701-650-166,38 North College Drive
121,Dog And Duck,SC,1200,2300,SC81864,205-635-478,77 Strawberry St.
122,The Boatman,WA,1200,2300,WA22246,225-390-612,532 San Juan St.
123,Inn of the Last Home,IN,0900,2100,IN70546,205-118-749,434 NW. Kent Street
124,Sandbox,NJ,1000,2000,NJ56418,339-146-835,8567 Hanover Dr.
125,Stone's Throw/Scorched Bone/Setting Sun,TX,1100,1800,TX20007,907-940-516,7371 Sunbeam Ave.
126,Boobies,AZ,0900,2000,AZ69200,503-653-497,30 Market Dr.
127,The Moonrakers,MI,1200,2100,MI91754,319-613-303,8048 Valley Farms Drive
128,The Hip Joint,CA,0900,1800,CA14475,262-800-676,95 New Saddle Ave.
129,Dexter Lake Club,CA,0900,1900,CA90977,435-378-491,62 Stillwater Drive
130,Mama Chow's Fine Dining,VA,1000,2000,VA89916,205-959-136,805 Prairie Ave.
131,The Red Boot Pub,NE,1300,2100,NE59898,907-372-463,491 Lakeview St.
132,The Ragged Flagon,ND,0800,1800,ND89227,262-641-480,8508 Overlook Lane
133,The Griffin,OH,1100,2200,OH92928,240-665-753,671 James St.
134,The Lion and Unicorn,MA,0800,2300,MA95172,319-613-303,23 Greenview Road
135,The Aigburth Arms,NV,0800,2300,NV92048,316-379-993,96 Garden Dr.
136,Grilby's,SD,1300,2300,SD16221,203-182-845,223 Tallwood Road
137,Wandin Valley RSL,ID,0800,2200,ID97068,503-966-933,19 Woodland Drive
138,Maxwell's Nightclub,MD,0900,1800,MD97789,701-728-640,8710 Paris Hill St.
139,The Goat,MA,1300,1900,MA79786,423-222-364,149 Lake Forest Lane
140,MacLaren's,WY,1200,2200,WY42933,207-825-980,176 Westport St.
141,Torchy's,IN,1200,2000,IN29771,302-513-377,434 NW. Kent Street
142,The White Hart,CA,1000,2300,CA35249,215-504-401,89 Pacific Street
143,The Hound Pits Pub,TX,1100,2000,TX41387,304-730-826,349 Wild Rose Court
144,Snakehole Lounge,UT,0900,2200,UT58885,405-777-580,605 E. Mayflower Street
145,New Found Out,MN,0800,1800,MN40369,479-345-529,745 Ivy Drive
146,The Monkey Bar,NE,1300,2300,NE74477,406-500-978,131 Circle Court
147,Weatherfield Arms,LA,1100,2000,LA42583,308-525-255,229 S. Pumpkin Hill Ave.
148,The Venusville Bar,IL,1300,1900,IL61661,307-206-637,356 Franklin Street
149,McAnally's,RI,1300,1800,RI91900,435-270-261,2 Morris St.
150,Broken Keel Tavern,OH,1300,2000,OH51469,701-728-640,8234 Constitution Dr.
151,West Weald Inn,OR,1300,2000,OR24184,262-800-676,9206 Beechwood Street
152,Thunderbrew Distillery,HI,0800,2200,HI12833,702-969-310,7051 Shub Farm St.
153,Poison,TX,1300,1800,TX67441,218-386-584,932 Cedarwood Ave.
154,The Drunken Clam,CO,0800,2200,CO41116,218-387-707,207 Glenholme St.
155,The Boom Boom Room,CA,0800,2200,CA35686,808-347-700,7365 Hartford Street
156,Seagrass,MD,0900,2200,MD57314,405-632-786,8234 Constitution Dr.
157,New Found Out,PA,1100,2100,PA70485,217-173-360,9498 Jackson Street
158,Dog And Duck,ID,1300,1900,ID42374,207-845-431,7669 Bridle Road
159,The Mohune Arms,IA,1200,2300,IA34783,802-977-316,67 Pleasant Ave.
160,The Earl Of Osbourne,HI,1100,2100,HI80828,973-540-347,510 Liberty Ave.
161,Electric Psychedelic Pussycat Swingers Club,VA,1100,1800,VA87271,203-347-875,18 1st Circle
162,The Plumbers Arms,SD,1200,2300,SD93119,405-890-643,8707 Poplar St.
163,The Blue Oyster Bar,IN,1300,1800,IN82120,210-617-456,910 West Grandrose Street
164,The Hanged Man,DE,0900,2300,DE99374,210-386-625,54 School Drive
165,The Brick,OR,1000,1900,OR74318,307-210-481,7669 Bridle Road
166,Crab Shack,TN,1100,2100,TN47887,435-156-735,54 School Drive
167,Broome's,MD,1300,2000,MD76308,207-637-144,898 S. Andover Dr.
168,The Kebab & Calculator,NY,0900,2000,NY24958,252-504-728,7677 Ashley St.
169,Fitzgerald's,PA,1100,1800,PA72111,423-461-474,953 S. Lantern St.
170,The Armada Room,OR,1300,2100,OR15334,401-528-698,17 Carpenter Drive
171,Mickey's,MN,0800,1900,MN18752,240-310-672,9045 Santa Clara Ave.
172,The Three Sisters' Inn,OH,1300,1900,OH66244,239-379-119,87 South Pawnee Road
173,Old Prospector Saloon,MS,1300,2300,MS79950,262-386-686,20 Hilltop Drive
174,The Crow & Crown,MD,1200,2000,MD63827,219-350-344,90 Johnson Lane
175,Glenister's,MA,0900,2100,MA52862,319-832-473,9215 Roberts Dr.
176,The Monkey Bar,SC,1000,2300,SC38712,210-798-922,7919 Spring St.
177,Cocktails and Dreams,NY,1000,2200,NY44897,252-352-654,745 Ivy Drive
178,Charlie's,OH,0800,2100,OH38397,406-956-649,977 Ridgewood Lane
179,The Mucky Duck,KY,1300,2200,KY49531,802-837-262,925 Glenwood Ave.
180,The Thorax Bar,DE,1000,2000,DE52566,210-843-264,2 Court Street
181,The Rabennest,NH,1000,2100,NH18446,479-792-245,7579 Jones St.
182,The Red Pony,TX,1300,2200,TX82440,503-818-954,354 Saxton St.
183,The Dog and Partridge,WI,1300,2300,WI11373,339-778-486,84 Orange Street
184,The Golden Perch,MN,0800,2000,MN68970,907-510-782,64 Indian Spring Ave.
185,West Weald Inn,NE,0800,1900,NE62112,276-634-420,762 Whitemarsh Ave.
186,Bo Ling Chop Suey Palace,MA,0800,2100,MA86040,480-849-623,9399 East Dr.
187,The Loft,UT,0900,2000,UT17958,240-665-753,88 Devonshire St.
188,Fortune Casino,OH,1100,2300,OH96364,217-201-296,8756 Lakeshore Road
189,The Rose & Thorn,VA,1300,1900,VA65509,252-414-585,994 Wintergreen St.
190,Club Pluto,OR,1100,2300,OR50521,216-776-640,55 S. Sleepy Hollow Dr.
191,The Three Broomsticks,WA,1300,2200,WA81124,276-706-327,819 Gulf St.
192,The Aidensfield Arms,MO,0800,2100,MO53024,217-606-582,96 Garden Lane
193,Ace of Clubs,DE,1200,2000,DE17287,405-318-641,7167 Roberts Road
194,The King and Queen Tavern,RI,1200,2100,RI22844,216-279-345,165 Constitution Drive
195,Founding Fathers,WV,1300,2000,WV90187,303-724-706,502 Prince Drive
196,The Flowers of Gold,RI,1000,2100,RI22529,701-650-166,31 Bay Meadows Street
197,The Slaughtered Lamb,NH,1100,1900,NH35580,207-786-864,7919 Spring St.
198,The Thorax Bar,AZ,0900,2100,AZ50805,302-709-598,73 Lincoln Dr.
199,Kavanagh's Irish Pub,NH,1300,1900,NH78314,803-468-751,312 South Wilson Street
200,The Gold Room at the Overlook Hotel,IA,1000,2100,IA82093,212-599-100,4 N. Pin Oak Ave.
201,Alibi Bar,IN,1300,2200,IN35277,240-447-863,77 Second Street
202,The Vigilante,WY,1300,1900,WY29529,270-629-464,8506 West Cobblestone Street
203,The Nag's Head,MD,0800,2100,MD89571,339-146-835,127 Lexington Drive
204,Gallow's End Tavern,AR,1000,2100,AR55549,262-201-887,8224 East Homestead Ave.
205,Brady Pub,AZ,1200,1800,AZ98684,479-805-347,7971 Beach Drive
206,The Grey Mare,TX,1000,1900,TX14504,435-850-854,9618 Spruce St.
207,Colonial Taphouse,SD,1200,1800,SD54315,308-525-255,12 Tallwood St.
208,The Crab Shed,AR,1300,1800,AR64949,435-233-304,31 Bay Meadows Street
209,Archie Bunker's Place,WV,0900,1800,WV21222,210-920-825,73 Old Saxon St.
210,Volpe's,KS,0900,2200,KS98770,405-570-567,665 Longfellow St.
211,Table Salt,IL,0900,2200,IL77245,308-524-546,9414 High Noon Street
212,The Feathers,MD,1200,2200,MD73371,262-414-448,796 Goldfield Ave.
213,Munden's Bar,IA,0800,2100,IA51395,405-890-643,349 Wild Rose Court
214,New York Bar,OH,1000,2300,OH21360,405-969-212,870 Lake St.
215,Ace of Clubs,WI,1000,1900,WI58531,435-844-268,9184 West Willow Rd.
216,Sandbox,NE,1000,2200,NE36015,480-897-432,8091 Hilltop Ave.
217,Wonder Bar,MO,1100,2100,MO50898,401-528-698,966 Lyme St.
218,The Rose & Thorn,PA,0900,1900,PA31023,701-730-864,79 Edgefield Drive
219,Wurstbraterei,CT,0900,2000,CT57114,240-665-753,40 Hudson Lane
220,The Winking Skeever,UT,1300,2000,UT20316,603-986-661,255 Middle River St.
221,The Three Sisters' Inn,DE,1000,2200,DE40225,423-607-769,34 Gregory Ave.
222,The Maidenhead,NH,0900,1800,NH47080,339-117-888,8633 Myers St.
223,Rick's Café Américain,GA,0900,2200,GA89527,215-687-544,9045 Santa Clara Ave.
224,Mama Chow's Fine Dining,MT,0900,1800,MT75661,803-329-448,9735 Tallwood Road
225,Joe's,NC,0900,2200,NC94427,973-962-178,62 Stillwater Drive
226,Kadie's Club Pecos,KS,0800,1900,KS18640,304-632-603,7657 Indian Spring St.
227,Club Obi Wan,HI,1000,1900,HI19481,405-632-786,7196 Taylor Street
228,Electric Psychedelic Pussycat Swingers Club,SC,1300,2100,SC97372,339-645-132,7011 East San Pablo Ave.
229,Thunderbrew Distillery,RI,0900,1900,RI27418,701-730-864,7369 Shady Dr.
230,Noah's Bar,GA,0900,1900,GA39924,405-809-755,9498 Jackson Street
231,Blue Boar Inn,AL,1200,2200,AL51382,319-613-303,68 Spring Dr.
232,Thunderbrew Distillery,RI,1300,2100,RI58670,216-236-139,40 Hudson Lane
233,Lucky Lockup,NE,1000,1900,NE55342,205-823-226,301 Old Wentworth Ave.
234,Deville,MA,1100,2000,MA39737,229-474-216,8518 Shub Farm Drive
235,"The Hand & Racquet, East Cheam",WA,1100,2200,WA75386,314-725-593,267 Kent Court
236,Mickey's,OH,0900,2200,OH72196,406-998-696,573 Alderwood Road
237,The Gold Room at the Overlook Hotel,OK,0800,2100,OK31612,216-236-139,964 Morris Street
238,LUX,NM,0800,1900,NM12223,209-279-540,8900 Valley View Street
239,The Grapes,WA,1100,1900,WA98046,231-134-583,8989 Wintergreen Lane
240,The White Hart,SD,1100,1800,SD67836,406-723-428,2 Poor House Street
241,The Bull,ID,1300,2200,ID51607,605-834-601,7424 Rockville St.
242,Flanagan's Cocktails & Dreams,AL,1200,2100,AL28021,479-792-245,160 College St.
243,The Silent Woman,CO,1000,1800,CO18207,207-962-432,9843 San Juan Rd.
244,The Butchers Arms,MT,0900,2000,MT82289,479-329-140,846 South Constitution Street
245,Welsh's Bar,OK,0800,1900,OK43913,405-872-992,7902 Briarwood St.
246,The Lost Lady Saloon,SC,1000,2000,SC44456,203-863-435,18 1st Circle
247,The Blue Parrot,ND,1200,1900,ND65017,406-227-970,8800 Campfire St.
248,The Skinners Arms,OH,1200,1800,OH39771,262-682-481,273 Young Ave.
249,The Hip Joint,AK,1100,2000,AK41302,240-788-599,213 Gregory St.
250,Maccadam's Old Oil House,SD,0900,2100,SD69030,480-977-579,2 Sherman Court
