Id,Name,Manufacturer
1,Boris,Stone Brewing
2,Fordham Dunkel Weiss,Stone Brewing
3,Engel Gold,North American Breweries
4,Aass Juleol Premium,Miller Brewing Company
5,Lakeport Honey Lager,Miller Brewing Company
6,Drake's Expedition Ale,Bell’s Brewery
7,Hitachino Nest Weizen,Plank Road Brewery
8,Point Horizon Wheat,Bell’s Brewery
9,Smuttynose Wheat Wine,Anheuser-Busch
10,Miller High Life Light,Constellation Brands
11,Moosbacher Schwarze Weisse,Diageo
12,Rogue Dry Hopped Saint Rogue Red Ale,Stone Brewing
13,Saint Arnold Brown Ale,Constellation Brands
14,Steamworks Summer Kolsch,North American Breweries
15,Strongarm Ruby Red Ale,Coors Brewing Company
16,Tripel Karmeliet,Plank Road Brewery
17,Xingu Black Beer,Constellation Brands
18,Victoria Bitter,North American Breweries
19,BridgePort India Pale Ale,CANarchy
20,Quail Springs India Pale Ale,Plank Road Brewery
21,Lakefront Bridge Burner,Craft Brew Alliance
22,Capital Maibock,Founders Brewing
23,Capital Vintage Ale,Stone Brewing
24,St Peter's Wheat Ale,Founders Brewing
25,New Glarus Two Women New,Anheuser-Busch
26,Boddingtons Pub Ale,Stone Brewing
27,Sundance Amber Ale,Jacob Leinenkugel Brewing Company
28,SweetWater Summer Hummer,Pabst Brewing
29,Widmer Snowplow Milk Stout,Stone Brewing
30,Full Sail IPA,Duvel Moortgat
31,Station House Red Ale,Bell’s Brewery
32,Hops Clearwater Light,CANarchy
33,Old Rasputin Russian Imperial Stout,New Belgium Brewing
34,Southern Pecan Brown ale,Anheuser-Busch
35,Abita Wheat,Plank Road Brewery
36,Abita Turbodog,CANarchy
37,Boulevard Unfiltered Wheat Beer,Pabst Brewing
38,Old Milwaukee,Stone Brewing
39,River Rock Ale,Diageo
40,Pinstripe Red Ale,Anheuser-Busch
41,Left Hand Polestar Pilsner,Jacob Leinenkugel Brewing Company
42,St-Ambroise Oatmeal Stout,Stone Brewing
43,Left Hand Black Jack Porter,Jacob Leinenkugel Brewing Company
44,Strong Suffolk Vintage Ale,New Belgium Brewing
45,Spaten Munchen Dunkel,Founders Brewing
46,Geary's Pale Ale,CANarchy
47,Fred,CANarchy
48,Tuppers' Hop Pocket Pils,Stone Brewing
49,Russian River Blind Pig IPA,Gambrinus
50,New Glarus Spotted Cow Ale,New Belgium Brewing